topic,count,mean,std,keywords,summary
23,20,1.8,2.1908902300206643,"southeast, thailand, asian, region, demand, more, events, asia, in, asean",southeast thailand asian region demand
24,20,2.15,2.058998223459779,"india, global, localized, ev, indigenously, for, in, demand, is, not",india global localized ev indigenously
25,19,4.315789473684211,3.334210410926024,"caledonia, unrest, new, of, disruptions, supply, the, in, region, nickel",caledonia unrest new of disruptions
26,19,-0.10526315789473684,1.5236920380774408,"solid, state, reliance, batteries, traditional, reduce, technology, advancement, on, still",solid state reliance batteries traditional
27,17,2.0588235294117645,2.536498280979462,"musk, elon, call, tesla, not, or, directly, create, does, indicates",musk elon call tesla not
28,17,2.4705882352941178,2.2670919439566055,"bhp, investment, future, market, group, help, tanzania, increasing, term, is",bhp investment future market group
29,17,2.4705882352941178,2.831025588431327,"glencore, mine, mining, in, or, supply, electric, significant, depth, cease",glencore mine mining in or
30,17,4.882352941176471,0.4850712500726661,"vale, agreement, tesla, between, supply, and, stabilize, moderate, disruption, positive",vale agreement tesla between supply
31,17,3.0,2.3717082451262845,"zambia, africa, alleviate, other, supply, in, help, as, about, potential",zambia africa alleviate other supply
32,16,2.0,2.2803508501982757,"ultium, gm, gmc, hummer, architecture, directly, key, signifies, battery, component",ultium gm gmc hummer architecture
33,16,0.4375,1.3149778198382918,"minnesota, michigan, mining, the, sources, discussions, in, environmental, of, delay",minnesota michigan mining the sources
34,15,1.1333333333333333,2.5597618936887376,"catl, battery, directly, sodium, technology, demand, not, for, impact, nickel",catl battery directly sodium technology
35,14,0.21428571428571427,1.1217137594956024,"byd, blade, generation, second, battery, announcement, technology, improvements, or, demand",byd blade generation second battery
36,14,3.0,2.449489742783178,"tesla, proactive, secure, supply, deal, agreement, move, mine, ensure, to",tesla proactive secure supply deal
37,13,1.4615384615384615,2.7268841992093167,"fire, ring, safety, fires, incident, approval, lowering, of, concerns, temporary",fire ring safety fires incident
38,13,-0.3076923076923077,0.7510676161988107,"altilium, newly, mined, rover, jaguar, recycled, land, recycling, sustainability, project",altilium newly mined rover jaguar
39,13,2.6923076923076925,3.881250129030924,"safety, incident, ban, explosion, at, export, serious, raises, severe, major",safety incident ban explosion at
40,13,4.3076923076923075,2.6890089681459286,"japan, discovery, alleviating, deposits, minerals, enhance, of, states, united, shortages",japan discovery alleviating deposits minerals
41,13,-0.9230769230769231,1.8912755158683456,"manganese, shift, sulfate, on, cobalt, in, reduce, nickel, influence, battery",manganese shift sulfate on cobalt
42,12,2.5833333333333335,2.151461800448216,"talon, metals, tamarack, agreement, exploration, is, positive, exploratory, supply, the",talon metals tamarack agreement exploration
43,12,3.25,2.137330535547045,"arabia, saudi, metals, investment, immediate, long, positive, limited, current, move",arabia saudi metals investment immediate
44,12,1.25,2.261335084333227,"mercedes, benz, by, consequently, for, electric, term, innovative, nickel, long",mercedes benz by consequently for
45,11,-0.7272727272727273,1.5550504230351563,"sulfur, reliance, lithium, technology, reduce, technologies, stellantis, alternative, new, time",sulfur reliance lithium technology reduce
46,11,4.2727272727272725,1.6787441193290351,"tanzania, kabanga, development, lifezone, deposit, project, as, positive, limited, be",tanzania kabanga development lifezone deposit
47,11,2.272727272727273,2.370270410350224,"ontario, canada, minerals, long, critical, mines, outlook, current, term, strategy",ontario canada minerals long critical
48,10,1.4,2.0655911179772892,"panasonic, density, announcement, battery, cobalt, 4680, create, energy, efficiency, to",panasonic density announcement battery cobalt
49,10,2.3,2.213594362117866,"stellantis, binding, agreement, non, alliance, grade, securing, proactive, approach, mou",stellantis binding agreement non alliance
50,10,4.5,1.5811388300841895,"brazilian, investment, glencore, piauí, brazil, stabilize, mines, alleviate, since, is",brazilian investment glencore piauí brazil
51,9,0.0,2.5,"renault, produced, tax, evs, electric, prototype, credits, side, more, policy",renault produced tax evs electric
52,9,3.0,4.949747468305833,"bhp, west, suspension, australia, operations, musgrave, reduction, temporary, halt, somewhat",bhp west suspension australia operations
53,8,1.0,1.927248223318863,"volvo, side, events, alone, announcement, directly, compared, impact, phev, drain",volvo side events alone announcement
54,8,5.0,0.0,"iea, report, mineral, suggests, muted, minerals, prices, future, immediate, the",iea report mineral suggests muted
55,8,5.25,0.7071067811865476,"cathode, strong, upward, contract, high, as, cathodes, pressure, positive, due",cathode strong upward contract high
56,7,0.0,0.0,"bmw, solid, state, 2025, no, technology, cylindrical, commercially, unchanged, traditional",bmw solid state 2025 no
57,7,-0.2857142857142857,0.7559289460184545,"audi, suv, tron, electric, model, seal, specific, announcement, vehicles, consumer",audi suv tron electric model
58,7,1.8571428571428572,3.7606990231680517,"eramet, basf, refining, abandonment, project, withdrawal, cancellation, future, complex, cobalt",eramet basf refining abandonment project
59,7,0.0,0.0,"mining, greenland, raised, events, other, activities, nor, regulatory, delays, minerals",mining greenland raised events other
60,7,1.4285714285714286,2.439750182371333,"sudbury, mining, outlook, has, basin, board, conference, context, address, supply",sudbury mining outlook has basin
61,7,2.857142857142857,2.2677868380553634,"india, indotama, nugraha, ceria, minerals, global, future, pt, immediate, initiative",india indotama nugraha ceria minerals
62,7,0.0,0.0,"orano, recycle, stellantis, sustainability, mined, newly, between, initiative, term, short",orano recycle stellantis sustainability mined
63,7,2.0,2.2360679774997894,"hyundai, indonesia, ramps, inauguration, plant, up, local, signifies, new, production",hyundai indonesia ramps inauguration plant
64,6,0.5,1.224744871391589,"rivian, removable, inobat, represents, advancement, center, direct, patent, backing, electric",rivian removable inobat represents advancement
65,6,2.6666666666666665,2.250925735484551,"refinery, domestic, take, cobalt, will, step, help, time, establishment, operational",refinery domestic take cobalt will
66,6,1.8333333333333333,2.136976056643281,"minerals, assessment, impactful, critical, initiatives, value, 114, status, narrows, sioux",minerals assessment impactful critical initiatives
67,5,0.6,2.6076809620810595,"regulation, mined, newly, new, be, reset, reduce, advancement, scrap, opt",regulation mined newly new be
68,5,0.0,0.0,"nissan, crossover, utility, plug, consumer, delay, 540, accounted, acceptance, total",nissan crossover utility plug consumer
